275|13
272|1
279|1
278|1
277|1
280|11
285|5
284|1
258|2
259|1
256|2
257|4
262|2
263|3
260|38
261|1
266|1
264|2
265|20
270|13
268|3
269|1
305|1
315|1
288|1
289|1
290|2
296|1
300|4
303|1
325|2
330|1
137|1
136|1
140|1
133|1
135|1
152|1
153|1
155|7
156|1
158|1
145|2
150|7
171|5
170|118
169|2
168|8
175|192
174|6
173|4
172|5
163|3
162|2
160|35
166|1
165|47
164|2
186|4
187|4
184|9
185|279
190|286
191|2
188|14
189|10
178|10
179|3
176|5
177|7
182|5
183|11
180|202
181|2
205|179
204|7
207|7
206|4
201|3
200|216
203|13
202|10
197|7
196|4
199|5
198|17
193|9
192|13
195|212
194|5
220|254
221|8
222|11
223|5
216|4
217|7
218|29
219|8
212|12
213|7
214|9
215|220
208|18
209|7
210|295
239|1
238|10
237|4
236|7
235|121
234|3
233|3
232|8
231|4
230|151
229|3
228|8
227|6
226|6
225|193
224|7
254|2
255|33
252|1
253|3
250|64
251|3
248|7
249|6
246|2
247|3
244|5
245|69
242|6
243|5
240|123
241|2
